,Age,CreditScore,EB,EstimatedSalary,Gender,Geography,HasCrCard,IsActiveMember,NumOfProducts,Tenure,Exited
0,0.324324324,0.538,0,0.506734893,0,0,1,1,0,0.2,1
1,0.310810811,0.516,7.02E-05,0.562708739,0,0.5,0,1,0,0.1,0
2,0.324324324,0.304,0.000132023,0.569654352,0,0,1,0,0.666666667,0.8,1
3,0.283783784,0.698,0,0.469120051,0,0,0,0,0.333333333,0.1,0
4,0.337837838,1,0.000149515,0.395400361,0,0.5,1,1,0,0.2,0
5,0.351351351,0.59,7.16E-05,0.74879716,1,0.5,1,0,0.333333333,0.8,1
6,0.432432432,0.944,0,0.0502609,1,0,1,1,0.333333333,0.7,0
7,0.148648649,0.052,9.08E-05,0.596733488,0,1,1,0,1,0.4,1
8,0.351351351,0.302,0.000178576,0.374680382,1,0,0,1,0.333333333,0.4,0
9,0.121621622,0.668,0.000176798,0.358604997,1,0,1,1,0,0.2,0
10,0.175675676,0.356,0.000119865,0.400885985,1,0,0,0,0.333333333,0.6,0
11,0.081081081,0.294,0,0.381928624,1,0.5,1,0,0.333333333,0.3,0
12,0.216216216,0.252,0,0.131259535,0,0,1,0,0.333333333,1,0
13,0.094594595,0.398,0,0.954322188,0,0,0,0,0.333333333,0.5,0
14,0.22972973,0.57,0,0.329731839,0,0.5,1,1,0.333333333,0.7,0
15,0.364864865,0.532,0.000209618,0.321609114,1,1,0,1,0.333333333,0.3,0
16,0.540540541,0.606,0.002450616,0.025432879,1,1,1,0,0,0.1,1
17,0.081081081,0.398,0,0.071981024,0,0.5,1,1,0.333333333,0.9,0
18,0.364864865,0.474,0,0.793441924,1,0.5,0,0,0,0.6,0
19,0.081081081,0.752,0,0.273588378,0,0,1,1,0.333333333,0.6,0
20,0.310810811,0.764,0,0.85445455,1,0,1,1,0.333333333,0.8,0
21,0.189189189,0.572,0,0.692785561,0,0.5,1,0,0.333333333,0.8,0
22,0.27027027,0.32,0,0.594566531,0,0.5,1,0,0,0.4,1
23,0.378378378,0.638,0,0.042384898,1,0,0,1,0.333333333,0.3,0
24,0.27027027,0.992,0,0.93811249,0,0,1,1,0,0.5,0
25,0.094594595,0.454,0,0.622543003,1,0,0,1,0.333333333,0.3,0
26,0.243243243,0.812,7.58E-05,0.850233047,1,1,1,1,0,0.2,0
27,0.351351351,0.442,0,0.192127198,1,0,0,0,0.333333333,0.9,0
28,0.337837838,0.448,0.000132915,0.500927089,0,1,1,1,0,0.3,0
29,0.148648649,0.122,0.000105155,0.267383685,1,0,1,1,0.333333333,0,0
30,0.283783784,0.482,0,0.702356075,0,0.5,1,0,0.666666667,0.3,1
31,0.243243243,0.366,5.13E-05,0.783676491,1,0,0,1,0,0.7,0
32,0.310810811,0.406,0.000126664,0.409475255,1,1,0,0,0.333333333,0.9,0
33,0.324324324,0.34,0,0.172011277,0,0.5,1,1,0.333333333,0.6,0
34,0.148648649,0.744,0,0.710175272,0,0.5,1,1,0.333333333,0.9,0
35,0.364864865,0.25,0.000454622,0.139070331,0,0,1,0,0,0,1
36,0.175675676,0.28,0.000119972,0.570330417,1,0.5,0,1,0,0.3,0
37,0.202702703,0.908,7.32E-05,0.49225636,1,0.5,0,1,0,0.7,0
38,0.243243243,1,0,0.204026084,1,0,1,1,0,0.7,0
39,0.310810811,0.464,3.72E-05,0.890397333,1,1,0,1,0.333333333,0.6,0
40,0.297297297,0.244,0,0.350746696,1,0.5,1,0,0,0.4,0
41,0.445945946,0.23,6.37E-05,0.906516922,0,0,0,0,0,0.8,1
42,0.581081081,0.412,0.000117489,0.470756207,0,0,1,1,0,0.2,0
43,0.418918919,0.968,6.37E-05,0.971863713,0,0,0,0,0,0.2,1
44,0.581081081,0.62,9.28E-05,0.791709658,0,0.5,1,1,0,0.5,0
45,0.189189189,0.852,8.15E-05,0.632589812,0,1,1,1,0.333333333,0.4,0
46,0.121621622,0.958,8.82E-05,0.598540311,0,1,1,1,0,0.9,1
47,0.283783784,0.574,0.000110405,0.588112265,0,1,1,1,0,0.9,1
48,0.27027027,0.4,0.000107181,0.454376143,1,1,0,1,0,0.2,0
49,0.256756757,0.852,5.04E-05,0.970530386,0,1,1,0,0.333333333,0.2,0
50,0.351351351,0.696,5.53E-05,0.990332477,1,1,1,0,0.333333333,1,0
51,0.243243243,0.47,0.000159207,0.432106216,1,1,0,0,0.333333333,0.5,0
52,0.202702703,0.876,0,0.584888907,0,0,0,0,0.333333333,0.5,0
53,0.310810811,0.61,7.21E-05,0.820225132,1,1,0,0,0,0.8,1
54,0.324324324,0.502,0.000231895,0.200035003,1,1,1,0,0,0.1,1
55,0.337837838,0.538,0.000104013,0.567048703,1,0,1,1,0,0.1,0
56,0.364864865,0.612,0.000138289,0.435521542,1,0,1,0,0,0.5,0
57,0.013513514,0.75,0.000156737,0.228032627,1,1,0,0,0,0,0
58,0.648648649,0.322,0,0.008158429,0,0.5,1,0,0,0.4,1
59,0.445945946,0.528,8.19E-05,0.233840832,1,0,1,1,0,0.4,0
60,0.22972973,0.784,0.000152565,0.422530302,1,1,0,0,0,0.5,0
61,0.121621622,0.674,0.00011345,0.632476602,0,1,0,0,0.333333333,0.9,0
62,0.202702703,0.41,2.96E-05,0.894018129,1,0.5,0,0,0.333333333,0.1,0
63,0.513513514,0.668,7.46E-05,0.496981362,1,0.5,1,1,0,0.8,0
64,0.108108108,0.506,0.000110776,0.46418978,1,1,1,1,0,0.4,0
65,0.243243243,0.802,0.000576393,0.13874715,0,1,1,1,0.333333333,0.6,0
66,0.216216216,0.462,8.67E-05,0.552152381,0,1,1,0,0,0.1,0
67,0.337837838,0.77,5.90E-05,0.983402415,1,1,1,1,0.333333333,1,0
68,0.22972973,0.622,0.000124935,0.568280621,0,1,0,1,0.333333333,0.5,0
69,0.040540541,0.65,0.000509129,0.090965787,0,0,1,0,0,0.8,0
70,0.540540541,0.776,0.000444073,0.141824944,1,1,1,0,1,0.2,1
71,0.148648649,0.926,0,0.169727659,1,0,1,0,0,0.6,0
72,0.256756757,0.614,0.00034869,0.220980954,0,0.5,0,1,0,0,0
73,0.094594595,0.508,0.000254411,0.292104046,0,1,1,1,0.333333333,0.5,0
74,0.243243243,0.338,0,0.727823607,1,0,0,1,0.333333333,0.9,0
